Field Identification,,,,Field Type,,,ICH,,Post-Market,,Pre-Market (IND and IND-exempt BA/BE),,VAERS,,,,,Type of Change,Q&A,Null Flag Applicable,,,,,,,,,Field OIDs,HL7 Data Type,,Xpath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCE,HEADER Element,DATA ELEMENT NUMBER,DATA ELEMENT NAME,MAX LENGTH,"DATA
TYPE ",VALUES ALLOWED,CONFORMANCE,ICH Business Rules,CONFORMANCE,Post-Market Business Rule,CONFORMANCE,Pre-Market Business Rule,MAX LENGTH,DATA TYPE,VALUES ALLOWED,CONFORMANCE,VAERS Business Rules,,,NI,MSK,UNK,NA,ASKU,NASK,NINF,PINF,OTH,Code system OID,HL7 Data Type,HL7 Data Type (sub component),Value,Null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,N.1 ,(Header),ICH CSR Transmission Identification (batch wrapper),-,-,-,-,-,-,-,-,-,,-,,,-,-,,-,-,-,-,-,-,-,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,N.1 ,N.1.1,Types of Message in batch,2,N,1=ichicsr,Required,"Note the ‘Value Allowed’ for this data element is case sensitive, e.g. only lower case characters should be used for this data element.
Other codes may be used regionally.",-,-,-,-,,,,,,Conforms with ICH business rules,,No,No,No,No,No,No,No,No,No,2.16.840.1.113883.3.989.2.1.1.1,Character String with Code (SC),code=Character String (ST),/MCCI_IN200100UV01/name[@codeSystem='2.16.840.1.113883.3.989.2.1.1.1']/@code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,N.1 ,N.1.2,Batch Number,100,AN,Free Text,Required,"The following notation will be used to represent N.1.2: <id extension=”batch number"" root=""2.16.840.1.113883.3.989.2.1.3.22""/>
The root indicates the namespace of N.1.2, the actual batch number is populated at id extension.",-,-,-,-,,,,,,Conforms with ICH business rules,,No,No,No,No,No,No,No,No,No,2.16.840.1.113883.3.989.2.1.3.22,Instance Identifier (II),extension=Character String (ST),/MCCI_IN200100UV01/id[@root='2.16.840.1.113883.3.989.2.1.3.22']/@extension,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,N.1 ,N.1.3,Batch Sender Identifier,60,AN,Free Text,Required,"The following notation will be used to represent N.1.3: <id extension=""sender identifier"" root=""2.16.840.1.113883.3.989.2.1.3.13""/>
The root indicates the namespace of N.1.3, the actual batch sender identifier is populated at id extension.
The sender identifier should be agreed between trading partners.",-,-,-,-,,,,,The Batch Sender Identifier can be the DUNS ID (9 Digit Identifier and DUNS OID 1.3.6.1.4.1.519.1) or other Identifier. ,Conforms with ICH business rules,,No,No,No,No,No,No,No,No,No,2.16.840.1.113883.3.989.2.1.3.13,Instance Identifier (II),extension=Character String (ST),/MCCI_IN200100UV01/sender[@typeCode='SND']/device[@classCode='DEV'][@determinerCode='INSTANCE']/id[@root='2.16.840.1.113883.3.989.2.1.3.13'][1]/@extension,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,N.1 ,N.1.4,Batch Receiver Identifier,60,AN,Free Text,Required,"The following notation will be used to represent N.1.4:
<id extension=""receiver identifier"" root=""2.16.840.1.113883.3.989.2.1.3.14""/>
The root indicates the namespace of N.1.4, the actual batch receiver identifier is populated at id extension.
The receiver identifier should be agreed between trading partners.",-,"For ICSR sent to the postmaket route use the value ""ZZFDA"". ",-,"For ICSR sent to the premaket route use the value ""ZZFDA_PREMKT"".",,,"WebTrader Accounts: CBER VAERS
AS/2 Accounts: CBER_VAERS",,"FDA requires that these identifiers correspond to the FDA ESG connection (e.g., WebTrader or AS2 B2B) used to send the ICSR submission to VAERS.  

WebTrader Accounts: CBER VAERS
AS/2 Accounts: CBER_VAERS
","Regional differences to the ICH value allowed business rules, field lengths, and nulflavors",,No,No,No,No,No,No,No,No,No,2.16.840.1.113883.3.989.2.1.3.14,Instance Identifier (II),extension=Character String (ST),/MCCI_IN200100UV01/receiver[@typeCode='RCV']/device[@classCode='DEV'][@determinerCode='INSTANCE']/id[@root='2.16.840.1.113883.3.989.2.1.3.14'][1]/@extension,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,N.1 ,N.1.5,Date of Batch Transmission,-,Date/Time,CCYYMMDDhhmmss[+/-ZZzz],Required,"The full precision of date and time must be recorded down to the second.
(i.e. ‘CCYYMMDDhhmmss[+/-ZZzz]’).
The date specified cannot refer to a future date.
The date should be local time at point of transmission of ICSR message.",-,-,-,-,,,CCYYMMDDhhmmss[+/-ZZzz],,,Conforms with ICH business rules,,No,No,No,No,No,No,No,No,No,-,Point in Time (TS),,/MCCI_IN200100UV01/creationTime/@value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,N.2.r ,(Header),ICH ICSR Message Header (message wrapper) (Repeat as necessary),-,-,-,-,-,-,-,-,-,,-,,,,-,,-,-,-,-,-,-,-,-,,-,,,/MCCI_IN200100UV01/PORR_IN049016UV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,N.2.r ,N.2.r.1 ,Message Identifier,100,AN,Free Text,Required,"The value is the same as C.1.1.Therefore the notation would be:
<id extension=""message identifier"" root=""2.16.840.1.113883.3.989.2.1.3.1""/>",-,-,-,-,,,,,,Conforms with ICH business rules,,No,No,No,No,No,No,No,No,No,2.16.840.1.113883.3.989.2.1.3.1,Instance Identifier (II),extension=Character String (ST),/MCCI_IN200100UV01/PORR_IN049016UV[r]/id[@root='2.16.840.1.113883.3.989.2.1.3.1'][1]/@extension,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,N.2.r ,N.2.r.2 ,Message Sender Identifier,60,AN,Free text,Required,"The following notation will be used to represent N.2.r.2:
<id extension=""message sender identifier""root=""2.16.840.1.113883.3.989.2.1.3.11""/>
The root indicates the namespace of N.2.r.2, the actual message sender identifier is populated at id extension.
The sender identifier should be agreed between trading partners.",,Senders must recieve FDA approval of their Message Sender Identifier before beginning FAERS Submissions.  The Message Sender Identifier can be the DUNS ID (9 Digit Identifier and DUNS OID 1.3.6.1.4.1.519.1) or other Identifier with FDA approval.   ,,Senders must recieve FDA approval of their Message Sender Identifier before beginning FAERS Submissions.  The Message Sender Identifier can be the DUNS ID (9 Digit Identifier and DUNS OID 1.3.6.1.4.1.519.1) or other Identifier with FDA approval.   ,,,Pre-approved Sender ID,,Senders must recieve FDA approval of their Message Sender Identifier before beginning FAERS Submissions.  The Message Sender Identifier can be the DUNS ID (9 Digit Identifier and DUNS OID 1.3.6.1.4.1.519.1) or other Identifier with FDA approval.  ICSR batches with non-approved sender identifiers will be rejected.   ,"Regional differences to the ICH business rules, field lengths, and nulflavors",,No,No,No,No,No,No,No,No,No,2.16.840.1.113883.3.989.2.1.3.11,Instance Identifier (II),extension=Character String (ST),/MCCI_IN200100UV01/PORR_IN049016UV[r]/sender[@typeCode='SND']/device[@classCode='DEV'][@determinerCode='INSTANCE']/id[@root='2.16.840.1.113883.3.989.2.1.3.11'][1]/@extension,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
